,precision,recall,fmeasure
0,0.9835390946502057,0.987603305785124,0.9855670103092783
1,0.7794871794871795,0.5868725868725869,0.6696035242290749
2,0.37435897435897436,0.6759259259259259,0.4818481848184818
3,0.7846153846153846,0.5645756457564576,0.6566523605150214
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,0.7088607594936709,0.5833333333333334,0.64
8,0.6050955414012739,0.6209150326797386,0.6129032258064515
9,0.48872180451127817,0.625,0.5485232067510548
10,0.6564102564102564,0.7111111111111111,0.6826666666666668
11,0.6358974358974359,0.656084656084656,0.6458333333333334
12,1.0,1.0,1.0
13,0.6358974358974359,0.656084656084656,0.6458333333333334
14,0.7515923566878981,0.49372384937238495,0.595959595959596
15,0.6180555555555556,0.7063492063492064,0.6592592592592594
16,1.0,1.0,1.0
17,0.5027322404371585,0.6764705882352942,0.5768025078369907
18,0.7291666666666666,0.5865921787709497,0.6501547987616099
19,0.6180555555555556,0.7063492063492064,0.6592592592592594
20,0.676923076923077,0.6804123711340206,0.6786632390745502
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,0.9835390946502057,0.987603305785124,0.9855670103092783
24,1.0,1.0,1.0
25,1.0,1.0,1.0
26,1.0,1.0,1.0
27,0.6815286624203821,0.40225563909774437,0.5059101654846335
28,0.6180555555555556,0.7063492063492064,0.6592592592592594
29,1.0,1.0,1.0
30,1.0,1.0,1.0
31,1.0,1.0,1.0
32,1.0,1.0,1.0
33,0.9891891891891892,1.0,0.9945652173913043
34,0.6242038216560509,0.6447368421052632,0.6343042071197411
35,0.5333333333333333,0.6380368098159509,0.5810055865921787
36,0.517948717948718,0.7651515151515151,0.6177370030581041
37,1.0,1.0,1.0
